model,slice_dimension,slice_value,observations,mae,median_absolute_error,p90_absolute_error,rmse,r2,mape_pct,mean_error
town_flat_type_median_baseline,town,BISHAN,394,205933.261421,175000.000000,352000.000000,252326.731293,0.070902,22.247252,-200813.972081
town_flat_type_median_baseline,town,BUKIT BATOK,1385,121335.147292,107750.000000,224555.200000,144745.983682,0.292737,18.864665,-117154.355957
town_flat_type_median_baseline,town,BUKIT MERAH,899,189872.476085,160000.000000,400000.000000,246744.117628,0.345150,22.236541,-153087.608454
town_flat_type_median_baseline,town,BUKIT PANJANG,782,143255.785166,130000.000000,257700.000000,167528.540264,-0.388442,21.904987,-142910.710997
town_flat_type_median_baseline,town,BUKIT TIMAH,56,221324.357143,265000.000000,359000.000000,256368.368328,0.193381,21.163388,-220252.928571
town_flat_type_median_baseline,town,CENTRAL AREA,177,226525.084746,141000.000000,566200.000000,302194.212762,0.402818,22.972919,-163253.220339
town_flat_type_median_baseline,town,CHOA CHU KANG,1005,122353.206070,119000.000000,207532.800000,138196.971838,-0.549855,19.171537,-121698.256816
town_flat_type_median_baseline,town,CLEMENTI,519,205675.432601,100112.000000,553000.000000,293004.228305,0.158076,23.356519,-189334.014489
town_flat_type_median_baseline,town,GEYLANG,680,165212.205529,86606.000000,408083.400000,230422.603782,0.238860,22.569932,-156573.605529
town_flat_type_median_baseline,town,HOUGANG,1244,158551.008842,140000.000000,295000.000000,185426.817138,-0.110288,23.000190,-157705.349678
town_flat_type_median_baseline,town,JURONG EAST,464,110532.616379,89500.000000,227500.000000,132931.480661,0.403624,18.793113,-107247.168103
town_flat_type_median_baseline,town,JURONG WEST,1474,121911.226594,113000.000000,215000.000000,140360.221622,-0.186118,20.576036,-121637.142469
town_flat_type_median_baseline,town,KALLANG/WHAMPOA,728,202313.468407,145000.000000,465000.000000,263740.709204,0.160506,24.391024,-179036.600275
town_flat_type_median_baseline,town,MARINE PARADE,139,110831.417266,100000.000000,210600.000000,137404.530486,0.636067,15.735480,-107478.899281
town_flat_type_median_baseline,town,PASIR RIS,749,186310.757009,169000.000000,287000.000000,200333.435201,-1.123707,24.563536,-185608.188251
town_flat_type_median_baseline,town,PUNGGOL,1640,159210.816256,146000.000000,265088.800000,181703.523797,-0.869003,22.471338,-158936.426012
town_flat_type_median_baseline,town,QUEENSTOWN,726,230619.044077,215000.000000,460000.000000,287486.277845,0.235949,26.020795,-211693.991736
town_flat_type_median_baseline,town,SEMBAWANG,884,124761.219457,106194.000000,261400.000000,151763.606871,-0.588102,18.872699,-124414.558824
town_flat_type_median_baseline,town,SENGKANG,1731,168308.172155,150000.000000,293000.000000,190513.013155,-1.378120,23.932899,-168305.861352
town_flat_type_median_baseline,town,SERANGOON,372,170067.553763,147000.000000,339500.000000,198341.312969,0.082409,23.163273,-170040.672043
town_flat_type_median_baseline,town,TAMPINES,1983,180309.610691,160000.000000,310000.000000,201570.441223,-0.574949,24.223890,-180195.641957
town_flat_type_median_baseline,town,TOA PAYOH,1003,232245.259023,199556.000000,499911.200000,299013.467597,0.183318,26.842920,-209021.316849
town_flat_type_median_baseline,town,WOODLANDS,1835,150111.814169,144000.000000,245600.000000,167920.206778,-0.273154,23.636038,-149280.289373
town_flat_type_median_baseline,town,YISHUN,1585,125356.957729,118000.000000,200000.000000,141949.341161,-0.155514,21.653442,-125209.182334
training_median_baseline,flat_type,1 ROOM,9,224691.555556,219112.000000,241822.400000,225045.885960,-316.815220,85.775950,224691.555556
training_median_baseline,flat_type,2 ROOM,750,118831.189333,114000.000000,188000.000000,126324.873017,-5.635920,33.998906,116418.154667
training_median_baseline,flat_type,3 ROOM,5790,91012.498273,73444.000000,176100.000000,118740.671570,-0.020925,19.750942,16999.477893
training_median_baseline,flat_type,4 ROOM,10817,190606.470389,142000.000000,452000.000000,255162.753692,-1.193338,24.482955,-188211.538708
training_median_baseline,flat_type,5 ROOM,5752,302029.362729,252000.000000,537000.000000,356077.370888,-2.559397,35.372370,-301943.023369
training_median_baseline,flat_type,EXECUTIVE,1470,444207.191224,423500.000000,612068.800000,466519.091097,-9.710615,46.528164,-444207.191224
training_median_baseline,flat_type,MULTI-GENERATION,4,648250.000000,639500.000000,685500.000000,649111.122998,-376.148196,57.015234,-648250.000000
training_median_baseline,price_band,$1m and above,1812,663556.195121,620000.000000,862000.000000,677552.775259,-23.456835,57.088277,-663556.195121
training_median_baseline,price_band,$300k-$399k,1977,126780.322205,123000.000000,168000.000000,129418.494533,-23.780634,35.838723,126780.322205
training_median_baseline,price_band,$400k-$499k,3389,43021.743582,43000.000000,80100.000000,51594.676043,-1.988063,10.118059,42084.781056
training_median_baseline,price_band,$500k-$699k,10284,110382.961752,112000.000000,187000.000000,123646.896063,-3.925188,17.724311,-110382.961752
training_median_baseline,price_band,$700k-$999k,7027,329796.791020,317000.000000,462000.000000,340273.725370,-15.493093,39.716484,-329796.791020
training_median_baseline,price_band,Below $300k,103,206592.194175,206000.000000,222400.000000,206943.046730,-294.164762,73.745783,206592.194175
training_median_baseline,remaining_lease_band,50-59 years,5460,117240.501282,78000.000000,282000.000000,170214.895054,-0.122637,19.298907,-56258.641575
training_median_baseline,remaining_lease_band,60-69 years,4207,226427.031614,170000.000000,492000.000000,294782.167551,-1.100273,27.885055,-213360.275731
training_median_baseline,remaining_lease_band,70-79 years,4852,203988.384279,160000.000000,432000.000000,258064.905827,-1.646944,26.375612,-203561.663751
training_median_baseline,remaining_lease_band,80-89 years,3796,259670.082655,197000.000000,541000.000000,335701.886990,-1.194028,31.079467,-247650.915111
training_median_baseline,remaining_lease_band,90 years and above,4617,276587.772242,232888.000000,570000.000000,337581.415380,-1.422281,33.353845,-258677.673043
training_median_baseline,remaining_lease_band,Below 50 years,1660,137091.541566,128000.000000,208000.000000,170756.288810,-0.102380,33.082101,52037.654819
training_median_baseline,town,ANG MO KIO,886,200109.174808,88000.000000,569500.000000,297469.030254,-0.296871,25.459627,-142323.648849
training_median_baseline,town,BEDOK,1252,183987.073482,108944.000000,442000.000000,250864.750704,-0.346990,25.857650,-127325.642173
training_median_baseline,town,BISHAN,394,388072.855330,352444.000000,758216.000000,461494.425444,-2.107906,40.303532,-380065.241117
training_median_baseline,town,BUKIT BATOK,1385,171821.363899,133000.000000,350000.000000,213203.269756,-0.534460,25.435760,-125826.919134
training_median_baseline,town,BUKIT MERAH,899,343437.392659,302000.000000,662000.000000,416942.168377,-0.869821,40.710791,-284374.593993
training_median_baseline,town,BUKIT PANJANG,782,152738.961637,123500.000000,350000.000000,198296.149471,-0.945264,21.729030,-138229.764706
training_median_baseline,town,BUKIT TIMAH,56,478351.142857,486000.000000,827000.000000,553463.135010,-2.759384,43.987017,-474172.571429
training_median_baseline,town,CENTRAL AREA,177,391765.491525,262000.000000,989000.000000,540426.922252,-0.909891,36.182774,-373015.932203
training_median_baseline,town,CHOA CHU KANG,1005,131788.977214,112000.000000,272000.000000,164156.987258,-1.186818,19.943665,-120933.082687
training_median_baseline,town,CLEMENTI,519,281482.777495,143000.000000,717377.776000,393411.373448,-0.517815,31.705445,-229786.669595
training_median_baseline,town,GEYLANG,680,236698.317294,172000.000000,502222.200000,295860.113037,-0.254837,36.544652,-133328.740824
training_median_baseline,town,HOUGANG,1244,186177.967042,140000.000000,421358.000000,240473.476714,-0.867346,25.245813,-163889.433280
training_median_baseline,town,JURONG EAST,464,137744.719828,99056.000000,320000.000000,186851.980658,-0.178310,22.383915,-72686.823276
training_median_baseline,town,JURONG WEST,1474,120580.625509,110000.000000,242000.000000,150196.549345,-0.358187,20.851558,-77132.094980
training_median_baseline,town,KALLANG/WHAMPOA,728,300721.748626,237000.000000,634066.400000,382580.818660,-0.766484,35.397565,-252011.188187
training_median_baseline,town,MARINE PARADE,139,197485.719424,112000.000000,538000.000000,285901.621188,-0.575623,24.159542,-172806.237410
training_median_baseline,town,PASIR RIS,749,259804.081442,232000.000000,453710.400000,290515.083397,-3.466065,33.086280,-255931.953271
training_median_baseline,town,PUNGGOL,1640,201921.852841,184444.000000,352000.000000,230675.696094,-2.012222,28.138220,-188536.872354
training_median_baseline,town,QUEENSTOWN,726,381082.779614,351444.500000,714500.000000,458887.907557,-0.946711,42.643749,-320010.796143
training_median_baseline,town,SEMBAWANG,884,140336.214932,122000.000000,292000.000000,167983.066184,-0.945692,21.926339,-117112.522624
training_median_baseline,town,SENGKANG,1731,191757.974581,170000.000000,352000.000000,220656.327036,-2.190196,26.915319,-182830.723281
training_median_baseline,town,SERANGOON,372,226446.483871,172000.000000,512000.000000,295184.863309,-1.032408,27.790865,-210384.758065
training_median_baseline,town,TAMPINES,1983,232590.619264,222000.000000,456600.000000,278342.201194,-2.003107,29.328555,-227324.234997
training_median_baseline,town,TOA PAYOH,1003,347896.981854,305888.000000,672000.000000,425094.116776,-0.650599,41.932439,-266883.047657
training_median_baseline,town,WOODLANDS,1835,145054.620708,114112.000000,327000.000000,192061.884740,-0.665549,21.661813,-121409.444687
training_median_baseline,town,YISHUN,1585,108390.431546,82000.000000,242000.000000,149661.026716,-0.284476,17.590386,-70431.753943
